rpm,torque_N_m,efficiency
7765.36312849,14.0603514692,0.265148960347
7812.84916201,14.0603514692,0.263582056886
7860.33519553,14.0603514692,0.262022774773
7907.82122905,14.0603514692,0.260471187638
7955.30726257,14.0603514692,0.258927364721
8002.79329609,14.0603514692,0.257391371004
8050.27932961,14.0603514692,0.255863267327
8097.76536313,14.0603514692,0.254343110522
8145.25139665,14.0603514692,0.252830953525
8192.73743017,14.0603514692,0.251326845497
8240.22346369,14.0603514692,0.249830831937
8287.70949721,14.0603514692,0.248342954794
8335.19553073,14.0603514692,0.246863252581
8382.68156425,14.0603514692,0.245391760473
8430.16759777,14.0603514692,0.243928510419
8477.65363128,14.0603514692,0.242473531241
8525.1396648,14.0603514692,0.241026848732
8572.62569832,14.0603514692,0.239588485757
8620.11173184,14.0603514692,0.238158462343
8667.59776536,14.0603514692,0.236736795774
8715.08379888,14.0603514692,0.235323500681
8762.5698324,14.0603514692,0.23391858913
8810.05586592,14.0603514692,0.232522070706
8857.54189944,14.0603514692,0.231133952598
8905.02793296,14.0603514692,0.22975423968
8952.51396648,14.0603514692,0.228382934588
9000,14.0603514692,0.227020037805
500,27.1207029384,0.351572762458
547.48603352,27.1207029384,0.368247927924
594.972067039,27.1207029384,0.383505114448
642.458100559,27.1207029384,0.39750847784
689.944134078,27.1207029384,0.410397111214
737.430167598,27.1207029384,0.422289658188
784.916201117,27.1207029384,0.433287943769
832.402234637,27.1207029384,0.443479858588
879.888268156,27.1207029384,0.452941669664
927.374301676,27.1207029384,0.461739886456
974.860335196,27.1207029384,0.469932778936
1022.34636872,27.1207029384,0.477571621104
1069.83240223,27.1207029384,0.484701716169
1117.31843575,27.1207029384,0.491363246845
1164.80446927,27.1207029384,0.497591984597
1212.29050279,27.1207029384,0.503419884392
